 day;shift;worker_name;machine_name;machine_number;part_name_number;operation_number;adjustment_data;work_time;pause_time;processed_quantity;material_error;labor_error;efficiency
;;;;;;;#/h;h;h;#;#;#;%
1;2;id2;AKIRA SEIKI 3.2;87;ELB 748;30-40;4,5;5,5;0,5;27;0;0;109,09
1;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;1;0;15;0;0;93,75
1;2;id3;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;240;0;0;131,87
1;3;id4;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;200;0;0;109,89
1;3;id5;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;100;0;0;84,03
1;2;id6;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;7;0;104;2;1;67,53
1;2;id7;DNR TTH8.1;112;SUPPORT PLATE;20;22;7;0;115;0;0;74,68
1;2;id8;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;68;0;0;97,14
1;3;id9;TMC700.1;64;HOUSING;70;50;7;0;520;0;0;148,57
1;2;id10;YCM NSV 106A.1;106;038 HOOD;40;10;7;0;70;0;0;100,00
1;2;id11;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;102;0;0;107,94
1;2;id12;DNR 1060.1;116;HOUSING;50;13,5;7;0;88;0;0;93,12
1;3;id13;DNR 1060.1;116;HOUSING;50;13,5;7;0;94;0;0;99,47
1;2;id14;DNR 1060.2;117;HOUSING;30;16;7;0;120;0;0;107,14
1;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;1;0;15;0;0;93,75
2;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;120;0;0;107,14
2;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;6,5;0,5;110;0;0;105,77
2;2;id16;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;0,5;0,5;14;0;0;112,00
2;2;id3;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;248;0;0;136,26
2;3;id4;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;200;0;0;109,89
2;2;id6;HYUNDAI HD2200;98;EPMV;20;20;3,5;0;69;0;0;98,57
2;1;id17;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;7;0;150;0;0;97,40
2;2;id18;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;5;2;75;0;0;68,18
2;3;id19;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;6;1;102;0;0;77,27
2;2;id20;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;100;1;0;84,03
2;1;id21;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;6,5;0,5;105;0;0;73,43
2;2;id6;HYUNDAI SKT L4;85;DISTRIBUTING PLATE;20;22;3,5;0;56;0;3;72,73
2;1;id22;VICTOR 26.1;60;EPMV;10;13;4;3;40;0;0;76,92
2;3;id20;VICTOR 26.1;60;EPMV;10;13;7;0;61;0;0;67,03
2;1;id23;VICTOR 26.2;65;HOUSING;10;17;5,5;1,5;85;3;0;90,91
2;2;id24;VICTOR 26.2;65;HOUSING;10;17;7;0;91;0;0;76,47
2;3;id25;VICTOR 26.2;65;HOUSING;10;17;7;0;115;0;0;96,64
2;1;id26;VICTOR 20.2;67;STATOR;20;30;7;0;170;1;2;80,95
2;2;id7;DNR TTH8.1;112;SUPPORT PLATE;20;22;7;0;109;0;0;70,78
2;1;id27;YCM TC-16LB.1;108;STATOR;10;20;5,5;1,5;82;0;0;74,55
2;1;id28;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;6,5;0,5;64;0;0;98,46
2;2;id8;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;68;0;0;97,14
2;3;id10;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;72;0;0;102,86
2;1;id29;STAMA MC335.2;102;HOUSING;30-40;19;6;1;72;0;12;63,16
2;1;id30;TMC700.1;64;HOUSING;70;50;7;0;606;0;0;173,14
2;3;id9;TAKSAN TMC700.3;80;HOUSING;60;56;7;0;450;0;0;114,80
2;1;id31;DNR TTH8.2;114;HOUSING;20;25;7;0;165;0;0;94,29
2;2;id32;DNR TTH8.2;114;HOUSING;20;25;7;0;205;0;0;117,14
2;3;id5;DNR TTH8.2;114;HOUSING;20;25;7;0;160;0;0;91,43
2;1;id33;DNR TTH8.3;115;DECKEL;10;20;7;0;130;0;0;92,86
2;2;id34;DNR TTH8.3;115;DECKEL;10;20;6,5;0,5;135;0;1;103,85
20;1;id35;AKIRA SEIKI 3.4;89;TOPUK;10;20;7;0;112;0;0;80,00
20;2;id36;AKIRA SEIKI 3.4;89;TOPUK;10;20;7;0;152;0;0;108,57
21;1;id35;AKIRA SEIKI 3.4;89;TOPUK;10;20;5;0;80;0;0;80,00
21;1;id35;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;2;0;30;0;0;60,00
21;2;id16;AKIRA SEIKI 3.4;89;TOPUK;10;20;7;0;160;0;0;114,29
21;3;id13;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;2;0;30;0;0;60,00
21;3;id19;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;5;0;110;0;0;88,00
2;3;id37;DNR TTH8.3;115;DECKEL;10;20;6;1;110;1;1;91,67
2;2;id38;YCM NSV 106A.1;106;038 HOOD;40;10;5,5;0;56;0;0;101,82
2;1;id39;YCM NMW 106A.2;105;HEMA 867;10;9;6,5;0,5;57;0;0;97,44
21;1;id40;YCM 56 A.1;68;TOPUK;50;40;3,5;0;150;0;0;107,14
2;2;id16;YCM NMV 106A.3;107;SUPPORT PLATE;40;25;6;0;145;0;0;96,67
2;1;id41;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;100;0;0;105,82
2;2;id11;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;100;0;0;105,82
2;2;id38;YCM NSV 106A.3;110;038 HOOD;20-30;7;1,5;0;10;0;0;95,24
2;1;id42;DNR 1060.1;116;HOUSING;40;16;7;0;132;0;0;117,86
2;2;id36;DNR 1060.1;116;HOUSING;40;16;7;0;120;0;0;107,14
2;3;id13;DNR 1060.1;116;HOUSING;40;16;6;0;96;0;0;100,00
2;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;120;0;0;107,14
2;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;6,5;0,5;110;0;0;105,77
3;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;125;0;0;111,61
3;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;6,5;0,5;114;0;0;109,62
3;1;id16;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;4;0;90;0;0;90,00
3;2;id38;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;3,5;0;92;0;0;105,14
3;2;id3;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;240;0;0;131,87
3;1;id26;HYUNDAI HD2200;98;EMPT;20;30;3;0;90;0;0;100,00
3;2;id6;HYUNDAI HD2200;98;EPMT;20;30;2;0;54;0;0;90,00
3;1;id17;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;7;0;150;0;0;97,40
3;2;id18;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;7;0;96;1;0;62,34
3;3;id19;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;7;0;107;0;1;69,48
20;2;id3;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;240;0;0;131,87
21;2;id3;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;240;0;0;131,87
3;2;id20;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;100;1;0;84,03
3;3;id6;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;85;0;0;71,43
3;1;id22;VICTOR 26.1;60;EPMV;10;13;2,5;4,5;23;0;0;70,77
3;1;id23;VICTOR 26.2;65;HOUSING;10;17;7;0;100;1;0;84,03
3;2;id24;VICTOR 26.2;65;HOUSING;10;17;6,5;0,5;87;0;5;78,73
3;3;id25;VICTOR 26.2;65;HOUSING;10;17;7;0;114;0;0;95,80
3;1;id26;VICTOR 20.2;67;STATOR;20;30;4;0;110;0;0;91,67
3;2;id7;DNR TTH8.1;112;SUPPORT PLATE;20;22;7;0;118;0;0;76,62
3;1;id27;YCM TC-16LB.1;108;STATOR;10;20;6;1;105;0;0;87,50
3;2;id6;YCM TC-16LB.1;108;STATOR;10;20;4;1;70;0;0;87,50
3;1;id28;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;6,5;0,5;64;0;0;98,46
3;2;id8;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;68;0;0;97,14
3;3;id10;YCM NMW 106A.1;100;DISTRIBUTING PLATE;30;10;7;0;64;0;0;91,43
3;1;id21;STAMA MC335.2;102;HOUSING;30-40;19;5,5;1,5;84;0;0;80,38
3;1;id30;TMC700.1;64;HOUSING;70;50;4;0;334;0;0;167,00
20;2;id43;HYUNDAI SKT L1;82;STATOR;20;45;7;0;270;0;0;85,71
3;1;id30;TAKSAN TMC700.3;80;HOUSING;60;56;3;0;240;0;0;142,86
3;1;id31;DNR TTH8.2;114;HOUSING;20;25;7;0;143;0;0;81,71
3;2;id32;DNR TTH8.2;114;HOUSING;20;25;6;1;126;0;0;84,00
3;3;id5;DNR TTH8.2;114;HOUSING;20;25;7;0;150;0;0;85,71
3;1;id33;DNR TTH8.3;115;DECKEL;10;20;7;0;140;0;0;100,00
3;2;id34;DNR TTH8.3;115;DECKEL;10;20;6,5;0,5;140;0;0;107,69
3;3;id20;DNR TTH8.3;115;DECKEL;10;20;7;0;117;0;0;83,57
3;2;id38;YCM NSV 106A.1;106;038 HOOD;40;10;3,5;0;36;0;0;102,86
3;3;id37;YCM NSV 106A.1;106;038 HOOD;40;10;6;1;42;0;0;70,00
3;1;id39;YCM NMW 106A.2;105;HEMA 867;10;9;5,5;1,5;50;0;0;101,01
3;1;id16;YCM NMV 106A.3;107;SUPPORT PLATE;40;25;3;0;65;0;0;86,67
3;1;id41;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;96;0;0;101,59
3;2;id11;YCM NSV 106A.2;109;HOUSING;50;13,5;7;0;100;0;0;105,82
3;3;id4;YCM NSV 106A.3;110;038 HOOD;20-30;7;7;0;44;0;0;89,80
3;2;id4;DNR 1060.1;116;HOUSING;40;16;5,5;1,5;90;0;0;102,27
3;3;id13;DNR 1060.1;116;HOUSING;40;16;7;0;114;0;0;101,79
3;1;id42;DNR 1060.2;117;HOUSING;30;16;7;0;132;0;0;117,86
3;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;7;0;125;0;0;111,61
3;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;6,5;0,5;114;0;0;109,62
4;1;id15;AKIRA SEIKI 3.3;88;HOUSING;30;16;5,5;1,5;95;0;0;107,95
4;2;id2;AKIRA SEIKI 3.3;88;HOUSING;30;16;6,5;0,5;115;0;0;110,58
4;1;id16;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;7;0;170;0;0;97,14
4;2;id38;AKIRA SEIKI 3.4;89;SUPPORT PLATE;30;25;7;0;200;0;0;114,29
4;2;id3;DAEWOO 41D-1;91;DECKEL 76;20;26;7;0;240;0;0;131,87
4;1;id17;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;6,5;0,5;140;0;0;97,90
4;2;id18;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;7;0;101;2;0;65,58
4;3;id19;HYUNDAI SKT L2;83;SUPPORT PLATE;10;22;7;0;93;0;3;60,39
4;2;id20;HYUNDAI SKT L3;84;HOUSING;10;17;7;0;102;1;0;85,71
